委托ID,﻿委托时间,﻿业务类型,﻿产品名称,﻿杠杆倍数,﻿方向,﻿生效机制,﻿委托数量,﻿成交数量,﻿成交币种单位,﻿委托价格,﻿成交均价,﻿收益,﻿手续费,﻿状态
﻿477199719081603076,2022-08-09 19:41:18,永续合约,LUNA-USDT-SWAP,10,卖,市价单,100,100,张,1.95290000,2.07790000,-2.59000000,-0.103895 USDT,完全成交
﻿476550424242319361,2022-08-08 00:41:15,永续合约,LUNA-USDT-SWAP,10,买入,限价单,100,100,张,2.10380000,2.10380000,0E-8,-0.042076 USDT,完全成交
﻿473123017019781140,2022-07-29 13:41:57,永续合约,LOOKS-USDT-SWAP,10,卖,市价单,5000,5000,张,0.43000000,0.44705126,-13.62810001,-1.11762815 USDT,完全成交
﻿473121981676810285,2022-07-29 13:37:50,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,5000,5000,张,0.45000000,0.44977688,0E-8,-1.1244422 USDT,完全成交
﻿473115097150419128,2022-07-29 13:10:29,永续合约,LOOKS-USDT-SWAP,10,卖,市价单,4000,4000,张,0.42560000,0.44268380,-4.86480000,-0.8853676 USDT,完全成交
﻿473109527567691779,2022-07-29 12:48:21,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,4000,4000,张,0.44390000,0.44390000,0E-8,-0.35512 USDT,完全成交
﻿473107326652805136,2022-07-29 12:39:36,永续合约,LOOKS-USDT-SWAP,10,卖,市价单,3800,3800,张,0.42190000,0.43938829,-20.84690001,-0.83483775 USDT,完全成交
﻿473106490577023029,2022-07-29 12:36:17,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,3800,3800,张,0.44560000,0.44487432,0E-8,-0.8452612 USDT,完全成交
﻿472185604992823299,2022-07-26 23:37:01,永续合约,YGG-USDT-SWAP,10,买入,市价单,729,729,张,0.76170000,0.73133320,1.98760000,-0.26657095 USDT,完全成交
﻿472179870213238809,2022-07-26 23:14:13,永续合约,YGG-USDT-SWAP,10,卖,限价单,700,700,张,0.73400000,0.73400000,0E-8,-0.10276 USDT,完全成交
﻿471981325908602883,2022-07-26 10:05:17,永续合约,YGG-USDT-SWAP,10,卖,市价单,750,750,张,0.74310000,0.77401760,-11.53600001,-0.2902566 USDT,完全成交
﻿471978261206167586,2022-07-26 09:53:06,永续合约,YGG-USDT-SWAP,10,卖,市价单,750,750,张,0.75050000,0.78212000,-5.45920001,-0.293295 USDT,完全成交
﻿471978201844183045,2022-07-26 09:52:52,永续合约,YGG-USDT-SWAP,10,卖,市价单,1500,1500,张,0.74880000,0.78004000,-14.03840001,-0.58503 USDT,完全成交
﻿471969976080035863,2022-07-26 09:20:11,永续合约,YGG-USDT-SWAP,10,买入,限价单,2000,2000,张,0.79270000,0.79264840,0E-8,-0.44592142 USDT,完全成交
﻿471947177194057756,2022-07-26 07:49:35,永续合约,LOOKS-USDT-SWAP,10,卖,限价单,1500,1500,张,0.32960000,0.34304127,-24.53810000,-0.25728095 USDT,完全成交
﻿471917968417517573,2022-07-26 05:53:31,永续合约,YGG-USDT-SWAP,10,买入,限价单,1000,1000,张,0.78290000,0.78290000,0E-8,-0.15658 USDT,完全成交
﻿471915341239709696,2022-07-26 05:43:05,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,1500,1500,张,0.35940000,0.35940000,0E-8,-0.10782 USDT,完全成交
﻿471873996974354433,2022-07-26 02:58:47,永续合约,LOOKS-USDT-SWAP,10,卖,限价单,1500,1500,张,0.34170000,0.35313140,-18.10290000,-0.26484855 USDT,完全成交
﻿471833593608826881,2022-07-26 00:18:14,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,1500,1500,张,0.36520000,0.36520000,0E-8,-0.10956 USDT,完全成交
﻿471690526285262860,2022-07-25 14:49:45,永续合约,YGG-USDT-SWAP,10,卖,市价单,1200,1200,张,0.73280000,0.76281975,-0.33630000,-0.45769185 USDT,完全成交
﻿471674093341929498,2022-07-25 13:44:27,永续合约,YGG-USDT-SWAP,10,买入,限价单,1200,1200,张,0.76310000,0.76310000,0E-8,-0.183144 USDT,完全成交
﻿471643992831193099,2022-07-25 11:44:50,永续合约,YGG-USDT-SWAP,10,卖,市价单,1500,1500,张,0.73400000,0.76299520,-5.40720000,-0.5722464 USDT,完全成交
﻿471640512498397184,2022-07-25 11:31:00,永续合约,YGG-USDT-SWAP,10,买入,限价单,1500,1500,张,0.76660000,0.76660000,0E-8,-0.22998 USDT,完全成交
﻿471430561947611143,2022-07-24 21:36:44,永续合约,YGG-USDT-SWAP,10,卖,市价单,700,700,张,0.76550000,0.79673286,2.40300000,-0.2788565 USDT,完全成交
﻿471118440416309268,2022-07-24 00:56:29,永续合约,YGG-USDT-SWAP,10,买入,限价单,700,700,张,0.79330000,0.79330000,0E-8,-0.111062 USDT,完全成交
﻿471118235482615814,2022-07-24 00:55:40,永续合约,YGG-USDT-SWAP,10,卖,市价单,700,700,张,0.80190000,0.83435157,-0.84790001,-0.29202305 USDT,完全成交
﻿471118215777775619,2022-07-24 00:55:35,永续合约,YGG-USDT-SWAP,10,买入,限价单,700,700,张,0.83710000,0.83556286,0E-8,-0.292447 USDT,完全成交
﻿471024313624326146,2022-07-23 18:42:27,永续合约,YGG-USDT-SWAP,10,卖,市价单,510,510,张,0.81240000,0.84596098,24.73181680,-0.21572005 USDT,完全成交
﻿471023840817213461,2022-07-23 18:40:34,永续合约,YGG-USDT-SWAP,10,卖,市价单,510,510,张,0.81730000,0.85070000,27.14871680,-0.2169285 USDT,完全成交
﻿470995704738115588,2022-07-23 16:48:46,永续合约,LOOKS-USDT-SWAP,10,卖,市价单,1500,1500,张,0.37930000,0.39494013,11.16020000,-0.2962051 USDT,完全成交
﻿470874357798170626,2022-07-23 08:46:35,永续合约,YGG-USDT-SWAP,10,卖,市价单,1021,1021,张,0.76650000,0.79763741,0.17376638,-0.4071939 USDT,完全成交
﻿470872605493456896,2022-07-23 08:39:37,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,1500,1500,张,0.38750000,0.38750000,0E-8,-0.11625 USDT,完全成交
﻿470871448310149122,2022-07-23 08:35:01,永续合约,YGG-USDT-SWAP,10,买入,限价单,2000,2000,张,0.79750000,0.79748500,0E-8,-0.39076 USDT,完全成交
﻿470711095836176390,2022-07-22 21:57:50,永续合约,YGG-USDT-SWAP,10,卖,市价单,1200,1200,张,0.79620000,0.82785567,-4.73320000,-0.4967134 USDT,完全成交
﻿470644217394655245,2022-07-22 17:32:05,永续合约,YGG-USDT-SWAP,10,买入,限价单,1200,1200,张,0.83180000,0.83180000,0E-8,-0.199632 USDT,完全成交
﻿470343289277935617,2022-07-21 21:36:18,永续合约,YGG-USDT-SWAP,10,卖,市价单,2000,2000,张,0.83220000,0.86694820,-2.10360000,-0.8669482 USDT,完全成交
﻿470339962867707905,2022-07-21 21:23:05,永续合约,YGG-USDT-SWAP,10,买入,限价单,2000,2000,张,0.86800000,0.86800000,0E-8,-0.3472 USDT,完全成交
﻿470179452935368708,2022-07-21 10:45:17,永续合约,YGG-USDT-SWAP,10,卖,市价单,2000,2000,张,0.80640000,0.83929760,-3.20380001,-0.8392976 USDT,完全成交
﻿470177782356668419,2022-07-21 10:38:38,永续合约,YGG-USDT-SWAP,10,买入,限价单,2000,2000,张,0.84090000,0.84089950,0E-8,-0.49402825 USDT,完全成交
﻿470163840909602819,2022-07-21 09:43:14,永续合约,LOOKS-USDT-SWAP,10,卖,市价单,3000,3000,张,0.37530000,0.39078523,-6.94430000,-0.58617785 USDT,完全成交
﻿470159412404056069,2022-07-21 09:25:39,永续合约,LOOKS-USDT-SWAP,10,买入,限价单,3000,3000,张,0.39310000,0.39310000,0E-8,-0.23586 USDT,完全成交
﻿470158352004313100,2022-07-21 09:21:26,永续合约,YGG-USDT-SWAP,10,卖,市价单,2000,2000,张,0.81660000,0.84754245,-2.31790001,-0.84754245 USDT,完全成交
